trade_date,Iran_entropy,Crypto_entropy,Macro_entropy,Geopolitical_entropy,Energy_entropy,Pandemic_entropy,composite_entropy,inv_composite_entropy,inv_Geopolitical_entropy,inv_Crypto_entropy,inv_Macro_entropy,inv_Energy_entropy,inv_Iran_entropy
2023-01-01,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,
2023-01-26,,,,,,,,,,,,,
2023-01-29,,,,,,,,,,,,,
2023-02-02,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,,,
2023-02-08,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,,,
2023-02-18,,,,,,,,,,,,,
2023-02-20,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,,,
2023-02-26,,,,,,,,,,,,,
2023-02-27,,,,,,,,,,,,,
2023-03-01,,,,,,,,,,,,,
2023-03-03,,,,,,,,,,,,,
2023-03-04,,,,,,,,,,,,,
2023-03-05,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,,
2023-03-08,,,,,,,,,,,,,
2023-03-09,,,,,,,,,,,,,
2023-03-12,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,
2023-03-18,,,,,,,,,,,,,
2023-03-19,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,,
2023-03-23,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,
2023-03-26,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,,
2023-03-30,,,,,,,,,,,,,
2023-03-31,,,,0.22077592704924628,,,0.22077592704924628,0.7792240729507537,0.7792240729507537,,,,
2023-04-01,,,,,,,,,,,,,
2023-04-02,,,,,,,,,,,,,
2023-04-03,,0.14652477742199635,,,,,0.14652477742199635,0.8534752225780037,,0.8534752225780037,,,
2023-04-04,,,,,,,,,,,,,
2023-04-05,,,,,,,,,,,,,
2023-04-06,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,
2023-04-08,,,,,,,,,,,,,
2023-04-09,,,,,,,,,,,,,
2023-04-11,,,,,,,,,,,,,
2023-04-12,,,,,,,,,,,,,
2023-04-13,,,,,,,,,,,,,
2023-04-15,,,,,,,,,,,,,
2023-04-16,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,
2023-04-18,,,,,,,,,,,,,
2023-04-22,,,,,,,,,,,,,
2023-04-25,,,,,,,,,,,,,
2023-04-26,,,,,,,,,,,,,
2023-04-27,,,,,,,,,,,,,
2023-04-30,,,,,,,,,,,,,
2023-05-03,,,,,,,,,,,,,
2023-05-04,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,
2023-05-13,,,,,,,,,,,,,
2023-05-14,,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,,,
2023-05-16,,,,,,,,,,,,,
2023-05-18,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,
2023-05-21,,,,,,,,,,,,,
2023-05-22,,,,,,,,,,,,,
2023-05-24,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,
2023-05-27,,,,,,,,,,,,,
2023-05-29,,,,,,,,,,,,,
2023-05-30,,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,
2023-06-03,,,,,,,,,,,,,
2023-06-04,,,,,,,,,,,,,
2023-06-05,,,,,,,,,,,,,
2023-06-06,,,,,,,,,,,,,
2023-06-07,,,,,,,,,,,,,
2023-06-08,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,
2023-06-10,,,,,,,,,,,,,
2023-06-11,,,,0.7371396383718914,,,0.7371396383718914,0.26286036162810855,0.26286036162810855,,,,
2023-06-12,,,,0.901757709790846,,,0.901757709790846,0.09824229020915398,0.09824229020915398,,,,
2023-06-13,,,,0.9151195867048755,,,0.9151195867048755,0.08488041329512452,0.08488041329512452,,,,
2023-06-14,,,,,,,,,,,,,
2023-06-15,,,,0.8608575950971853,,,0.8608575950971853,0.1391424049028147,0.1391424049028147,,,,
2023-06-16,,,,,,,,,,,,,
2023-06-17,,,,,,,,,,,,,
2023-06-18,,,,,,,,,,,,,
2023-06-19,,,,,,,,,,,,,
2023-06-20,,,,,,,,,,,,,
2023-06-21,,,,,,,,,,,,,
